id,day,language,section,type,tts_text,romanization,english,instruct_text,speaker_id
day01_vocabulary_001,1,Cantonese,Vocabulary,Flashcard,咖啡,gaa3 fe1,coffee,用温柔的语气讲这句话,Beth251112
day01_vocabulary_002,1,Cantonese,Vocabulary,Flashcard,茶,caa4,tea,用温柔的语气讲这句话,Beth251112
day01_vocabulary_003,1,Cantonese,Vocabulary,Flashcard,牛奶,ngau4 naai5,milk,用温柔的语气讲这句话,Beth251112
day01_vocabulary_004,1,Cantonese,Vocabulary,Flashcard,糖,tong4,sugar,用温柔的语气讲这句话,Beth251112
day01_vocabulary_005,1,Cantonese,Vocabulary,Flashcard,侍應,si6 jing3,waiter,用温柔的语气讲这句话,Beth251112
day01_vocabulary_006,1,Cantonese,Vocabulary,Flashcard,單,daan1,bill,用温柔的语气讲这句话,Beth251112
day01_vocabulary_007,1,Cantonese,Vocabulary,Flashcard,味道,mei6 dou6,flavor,用温柔的语气讲这句话,Beth251112
day01_vocabulary_008,1,Cantonese,Vocabulary,Flashcard,凍,dung3,cold,用温柔的语气讲这句话,Beth251112
day01_vocabulary_009,1,Cantonese,Vocabulary,Flashcard,熱,jit6,hot,用温柔的语气讲这句话,Beth251112
day01_vocabulary_010,1,Cantonese,Vocabulary,Flashcard,蛋糕,daan6 gou1,cake,用温柔的语气讲这句话,Beth251112
day02_vocabulary_001,2,Cantonese,Vocabulary,Flashcard,朋友,pang4 jau5,friend,用温柔的语气讲这句话,Beth251112
day02_vocabulary_002,2,Cantonese,Vocabulary,Flashcard,時間,si4 gaan3,time,用温柔的语气讲这句话,Beth251112
day02_vocabulary_003,2,Cantonese,Vocabulary,Flashcard,地方,dei6 fong1,place,用温柔的语气讲这句话,Beth251112
day02_vocabulary_004,2,Cantonese,Vocabulary,Flashcard,約,joek3,to arrange,用温柔的语气讲这句话,Beth251112
day02_vocabulary_005,2,Cantonese,Vocabulary,Flashcard,一齊,jat1 cai4,together,用温柔的语气讲这句话,Beth251112
day02_vocabulary_006,2,Cantonese,Vocabulary,Flashcard,自由,zi6 jau4,free (available),用温柔的语气讲这句话,Beth251112
day02_vocabulary_007,2,Cantonese,Vocabulary,Flashcard,諗,nam2,to think,用温柔的语气讲这句话,Beth251112
day02_vocabulary_008,2,Cantonese,Vocabulary,Flashcard,興趣,hing3 ceoi3,interest,用温柔的语气讲这句话,Beth251112
day02_vocabulary_009,2,Cantonese,Vocabulary,Flashcard,出街,ceot1 gaai1,to go out,用温柔的语气讲这句话,Beth251112
day02_vocabulary_010,2,Cantonese,Vocabulary,Flashcard,計劃,gai3 waak6,plan,用温柔的语气讲这句话,Beth251112
day03_vocabulary_001,3,Cantonese,Vocabulary,Flashcard,火車,fo2 ce1,train,用温柔的语气讲这句话,Beth251112
day03_vocabulary_002,3,Cantonese,Vocabulary,Flashcard,車站,ce1 zaam6,station,用温柔的语气讲这句话,Beth251112
day03_vocabulary_003,3,Cantonese,Vocabulary,Flashcard,車票,ce1 piu3,ticket,用温柔的语气讲这句话,Beth251112
day03_vocabulary_004,3,Cantonese,Vocabulary,Flashcard,到達,dou3 daat6,arrival,用温柔的语气讲这句话,Beth251112
day03_vocabulary_005,3,Cantonese,Vocabulary,Flashcard,開出,hoi1 ceot1,departure,用温柔的语气讲这句话,Beth251112
day03_vocabulary_006,3,Cantonese,Vocabulary,Flashcard,月台,jyut6 toi4,platform,用温柔的语气讲这句话,Beth251112
day03_vocabulary_007,3,Cantonese,Vocabulary,Flashcard,延誤,jin4 ng6,delay,用温柔的语气讲这句话,Beth251112
day03_vocabulary_008,3,Cantonese,Vocabulary,Flashcard,座位,zo6 wai2,seat,用温柔的语气讲这句话,Beth251112
day03_vocabulary_009,3,Cantonese,Vocabulary,Flashcard,時間表,si4 gaan3 biu2,schedule,用温柔的语气讲这句话,Beth251112
day03_vocabulary_010,3,Cantonese,Vocabulary,Flashcard,舒服,syu1 fuk6,comfortable,用温柔的语气讲这句话,Beth251112
day04_vocabulary_001,4,Cantonese,Vocabulary,Flashcard,商店,soeng1 dim3,shop,用温柔的语气讲这句话,Beth251112
day04_vocabulary_002,4,Cantonese,Vocabulary,Flashcard,買嘢,maai5 je5,to buy,用温柔的语气讲这句话,Beth251112
day04_vocabulary_003,4,Cantonese,Vocabulary,Flashcard,平,paang4,cheap,用温柔的语气讲这句话,Beth251112
day04_vocabulary_004,4,Cantonese,Vocabulary,Flashcard,價錢,gaa3 cin4,price,用温柔的语气讲这句话,Beth251112
day04_vocabulary_005,4,Cantonese,Vocabulary,Flashcard,試身室,si3 san1 sat1,fitting room,用温柔的语气讲这句话,Beth251112
day04_vocabulary_006,4,Cantonese,Vocabulary,Flashcard,袋,doi6,bag,用温柔的语气讲这句话,Beth251112
day04_vocabulary_007,4,Cantonese,Vocabulary,Flashcard,收銀台,sau1 ngan2 toi4,cash register,用温柔的语气讲这句话,Beth251112
day04_vocabulary_008,4,Cantonese,Vocabulary,Flashcard,顏色,ngaan4 sik1,color,用温柔的语气讲这句话,Beth251112
day04_vocabulary_009,4,Cantonese,Vocabulary,Flashcard,折扣,zit3 kau3,discount,用温柔的语气讲这句话,Beth251112
day04_vocabulary_010,4,Cantonese,Vocabulary,Flashcard,試下,si3 haa5,to try,用温柔的语气讲这句话,Beth251112
day05_vocabulary_001,5,Cantonese,Vocabulary,Flashcard,餐廳,caan1 teng1,restaurant,用温柔的语气讲这句话,Beth251112
day05_vocabulary_002,5,Cantonese,Vocabulary,Flashcard,餐牌,caan1 paai4,menu,用温柔的语气讲这句话,Beth251112
day05_vocabulary_003,5,Cantonese,Vocabulary,Flashcard,侍應,si6 jing3,waiter,用温柔的语气讲这句话,Beth251112
day05_vocabulary_004,5,Cantonese,Vocabulary,Flashcard,前菜,cin4 coi3,appetizer,用温柔的语气讲这句话,Beth251112
day05_vocabulary_005,5,Cantonese,Vocabulary,Flashcard,主菜,zyu2 coi3,main course,用温柔的语气讲这句话,Beth251112
day05_vocabulary_006,5,Cantonese,Vocabulary,Flashcard,甜品,tim4 ban2,dessert,用温柔的语气讲这句话,Beth251112
day05_vocabulary_007,5,Cantonese,Vocabulary,Flashcard,味道,mei6 dou6,taste,用温柔的语气讲这句话,Beth251112
day05_vocabulary_008,5,Cantonese,Vocabulary,Flashcard,單,daan1,bill,用温柔的语气讲这句话,Beth251112
day05_vocabulary_009,5,Cantonese,Vocabulary,Flashcard,推介,teoi1 gaai3,recommendation,用温柔的语气讲这句话,Beth251112
day05_vocabulary_010,5,Cantonese,Vocabulary,Flashcard,好味,hou2 mei6,tasty,用温柔的语气讲这句话,Beth251112
day06_vocabulary_001,6,Cantonese,Vocabulary,Flashcard,戲院,hei3 jyun2,cinema,用温柔的语气讲这句话,Beth251112
day06_vocabulary_002,6,Cantonese,Vocabulary,Flashcard,電影,din6 jing2,movie,用温柔的语气讲这句话,Beth251112
day06_vocabulary_003,6,Cantonese,Vocabulary,Flashcard,戲票,hei3 piu3,ticket,用温柔的语气讲这句话,Beth251112
day06_vocabulary_004,6,Cantonese,Vocabulary,Flashcard,座位,zo6 wai2,seat,用温柔的语气讲这句话,Beth251112
day06_vocabulary_005,6,Cantonese,Vocabulary,Flashcard,故事,gu3 si6,story,用温柔的语气讲这句话,Beth251112
day06_vocabulary_006,6,Cantonese,Vocabulary,Flashcard,演員,jin2 jyun4,actor,用温柔的语气讲这句话,Beth251112
day06_vocabulary_007,6,Cantonese,Vocabulary,Flashcard,有趣,jau5 ceoi3,interesting,用温柔的语气讲这句话,Beth251112
day06_vocabulary_008,6,Cantonese,Vocabulary,Flashcard,好笑,hou2 siu3,funny,用温柔的语气讲这句话,Beth251112
day06_vocabulary_009,6,Cantonese,Vocabulary,Flashcard,結局,git3 guk6,ending,用温柔的语气讲这句话,Beth251112
day06_vocabulary_010,6,Cantonese,Vocabulary,Flashcard,再睇,zoi3 tai2,watch again,用温柔的语气讲这句话,Beth251112
day07_vocabulary_001,7,Cantonese,Vocabulary,Flashcard,旅行,leoi5 hang4,travel,用温柔的语气讲这句话,Beth251112
